flightNumber,airline,arrivalDate,arrivalTime,passengers
SU2546,Pobeda,2024-12-26,17:00,317
SU5595,Ural Airlines,2024-06-13,13:47,198
SU7749,Pobeda,2024-08-26,11:16,111
SU8624,Azimuth,2024-07-26,01:44,165
SU4799,Ural Airlines,2024-02-05,03:34,260
SU2504,S7 Airlines,2024-01-24,00:57,53
SU2657,Ural Airlines,2024-07-25,01:59,155
SU2025,Pobeda,2024-07-19,19:06,137
SU6587,Yakutia,2024-11-18,03:16,152
SU7843,Rossiya,2024-08-14,09:42,147
SU5278,Yakutia,2024-05-22,17:08,54
SU6381,Red Wings,2024-03-09,12:43,126
SU4746,Pobeda,2024-11-16,18:16,237
SU4672,Nordavia,2024-06-16,14:53,143
SU4623,UTair,2024-06-14,17:19,163
SU5133,S7 Airlines,2024-10-16,12:51,260
SU5504,Pobeda,2024-07-27,22:41,55
SU9168,Nordavia,2024-09-20,03:55,333
SU3498,Nordavia,2024-11-09,09:40,136
SU1482,Nordavia,2024-06-01,07:40,332
SU7005,S7 Airlines,2024-12-21,22:10,340
SU8876,UTair,2024-09-02,23:14,188
SU7510,Azimuth,2024-11-10,11:20,141
SU7430,Rossiya,2024-01-11,07:13,118
SU6833,Pobeda,2024-03-07,14:57,121
SU3814,Aeroflot,2024-10-17,18:23,285
SU1419,Aeroflot,2024-11-15,15:49,158
SU2385,S7 Airlines,2024-03-19,05:06,204
SU3717,Pobeda,2024-06-01,11:11,293
SU2520,Azimuth,2024-11-04,11:42,209
SU5897,Rossiya,2024-09-06,15:39,91
SU4679,Aeroflot,2024-01-26,01:03,269
SU2271,Ural Airlines,2024-08-09,16:43,88
SU4678,UTair,2024-07-04,07:51,55
SU8635,Aeroflot,2024-01-13,19:57,162
SU967,Red Wings,2024-04-06,13:58,345
SU4892,Pobeda,2024-03-21,22:07,271
SU701,Yakutia,2024-09-20,08:53,227
SU3808,S7 Airlines,2024-05-03,11:20,193
SU6097,Aeroflot,2024-01-24,19:39,213
SU1749,Ural Airlines,2024-05-04,17:54,139
SU1372,UTair,2024-05-02,07:53,221
SU9925,Aeroflot,2024-04-09,00:54,60
SU6506,Red Wings,2024-08-17,02:34,122
SU5442,S7 Airlines,2024-11-01,00:20,215
SU2598,UTair,2024-08-13,13:14,325
SU8560,Nordavia,2024-12-17,17:54,208
SU9382,S7 Airlines,2024-04-16,19:39,147
SU2965,Rossiya,2024-11-01,14:29,271
SU4099,Aeroflot,2024-04-14,08:07,123
SU3210,Pobeda,2024-08-24,04:21,316
SU334,UTair,2024-04-25,20:13,188
SU3256,Yakutia,2024-03-09,21:55,65
SU3118,Aeroflot,2024-10-23,13:11,215
SU6857,Rossiya,2024-02-19,04:00,225
SU6052,Aeroflot,2024-10-28,05:56,145
SU6810,Azimuth,2024-05-14,18:21,94
SU3772,Rossiya,2024-11-12,14:41,59
SU1249,S7 Airlines,2024-12-01,15:12,87
SU3489,Red Wings,2024-12-17,07:11,260
SU6434,UTair,2024-12-13,16:08,190
SU9988,Red Wings,2024-08-13,11:19,248
SU7206,Aeroflot,2024-11-07,22:28,293
SU9039,Yakutia,2024-07-13,17:34,329
SU9870,Azimuth,2024-02-11,06:33,203
SU5233,Nordavia,2024-07-12,09:58,97
SU2643,Yakutia,2024-11-03,18:55,164
SU3317,Aeroflot,2024-12-25,09:48,313
SU4873,Pobeda,2024-03-15,23:53,64
SU6643,Rossiya,2024-06-28,21:24,251
SU3809,Aeroflot,2024-05-20,01:44,101
SU5909,Red Wings,2024-10-03,20:44,198
SU737,Aeroflot,2024-08-10,20:46,214
SU2295,Yakutia,2024-05-24,21:45,174
SU4350,Yakutia,2024-12-04,11:54,294
SU6317,S7 Airlines,2024-04-12,12:20,205
SU3525,Azimuth,2024-02-22,21:54,118
SU7943,Rossiya,2024-10-25,11:47,309
SU4661,Nordavia,2024-12-20,22:11,235
SU2278,UTair,2024-04-19,23:49,61
SU2779,Aeroflot,2024-08-22,10:49,284
SU8249,Yakutia,2024-11-23,17:46,221
SU276,Ural Airlines,2024-06-14,21:49,349
SU9755,Nordavia,2024-10-11,04:58,97
SU9581,UTair,2024-06-09,00:21,71
SU7531,Yakutia,2024-12-11,14:41,267
SU8305,Azimuth,2024-01-09,21:45,275
SU2080,Ural Airlines,2024-04-19,13:08,251
SU7673,Azimuth,2024-01-14,03:43,170
SU7601,Ural Airlines,2024-09-23,07:26,182
SU9267,Yakutia,2024-11-17,19:33,151
SU2969,Yakutia,2024-04-28,23:20,238
SU4058,S7 Airlines,2024-09-24,20:22,269
SU8583,Nordavia,2024-10-19,09:44,335
SU906,Aeroflot,2024-04-04,04:47,313
SU2923,Red Wings,2024-07-13,19:26,225
SU5226,Aeroflot,2024-03-25,16:19,278
SU6398,Nordavia,2024-04-25,04:52,140
SU5053,Nordavia,2024-11-07,14:12,285
SU2351,UTair,2024-01-01,11:55,260
SU2677,Pobeda,2024-01-15,19:44,342
SU8676,S7 Airlines,2024-03-16,18:24,198
SU1078,Red Wings,2024-02-17,06:30,254
SU9167,Red Wings,2024-02-03,17:11,136
SU9276,Rossiya,2024-08-05,12:53,90
SU3732,Ural Airlines,2024-02-13,21:38,51
SU6525,UTair,2024-04-01,03:38,109
SU7688,Azimuth,2024-07-10,01:40,142
SU6724,Ural Airlines,2024-12-25,20:01,131
SU1382,Nordavia,2024-07-17,17:06,329
SU5371,Nordavia,2024-02-24,08:50,54
SU1196,Nordavia,2024-09-12,21:34,153
SU672,Pobeda,2024-01-07,06:27,329
SU7849,S7 Airlines,2024-01-28,18:45,115
SU9570,S7 Airlines,2024-12-15,23:33,92
SU9219,Nordavia,2024-07-09,18:44,194
SU9379,Red Wings,2024-11-10,22:59,340
SU6384,Azimuth,2024-07-21,17:22,304
SU4883,Yakutia,2024-02-02,20:29,114
SU6770,Aeroflot,2024-12-23,11:48,109
SU4432,Nordavia,2024-07-03,08:24,163
SU850,UTair,2024-09-24,07:44,63
SU2288,Azimuth,2024-02-22,17:56,257
SU795,Red Wings,2024-02-27,17:00,81
SU2466,Nordavia,2024-02-19,20:00,57
SU2477,Azimuth,2024-09-01,03:39,147
SU7210,Yakutia,2024-12-13,12:59,293
SU8649,Rossiya,2024-10-16,09:21,102
SU8038,Yakutia,2024-11-03,07:29,168
SU7809,Rossiya,2024-09-25,18:58,155
SU7738,Nordavia,2024-03-16,10:01,305
SU3431,S7 Airlines,2024-07-22,20:11,328
SU752,UTair,2024-12-23,06:45,233
SU3592,Azimuth,2024-03-27,18:00,59
SU7312,Pobeda,2024-06-01,19:36,227
SU2156,UTair,2024-08-14,19:00,161
SU344,Azimuth,2024-11-24,16:24,87
SU809,Pobeda,2024-09-18,07:33,290
SU1644,Ural Airlines,2024-12-28,22:31,223
SU4610,Aeroflot,2024-03-25,23:19,153
SU921,Pobeda,2024-01-16,06:45,286
SU8636,Aeroflot,2024-03-19,03:08,122
SU8719,Azimuth,2024-03-12,23:04,337
SU3762,S7 Airlines,2024-05-28,18:25,246
SU3072,UTair,2024-04-25,21:14,349
SU9872,Nordavia,2024-07-20,13:24,131
SU7632,Red Wings,2024-03-18,09:41,136
SU3634,Rossiya,2024-04-21,19:09,248
SU8342,Aeroflot,2024-04-27,12:07,81
SU6888,Aeroflot,2024-02-26,09:21,148
SU8348,Ural Airlines,2024-10-04,22:45,51
SU3447,Yakutia,2024-05-22,08:35,350
SU157,Rossiya,2024-12-17,20:27,221
SU3825,Azimuth,2024-03-11,05:13,298
SU9635,Nordavia,2024-03-25,14:15,145
SU8321,Rossiya,2024-10-21,01:15,53
SU6061,UTair,2024-01-02,10:39,130
SU7750,Rossiya,2024-08-12,19:10,198
SU9671,Pobeda,2024-06-21,21:41,138
SU2042,Pobeda,2024-07-14,08:47,271
SU3689,UTair,2024-03-16,08:38,240
SU4223,Aeroflot,2024-11-27,15:13,334
SU878,UTair,2024-10-25,18:34,328
SU852,S7 Airlines,2024-11-14,11:32,77
SU6802,Ural Airlines,2024-04-01,20:33,194
SU7010,Rossiya,2024-11-11,07:40,261
SU6662,Pobeda,2024-03-11,06:35,254
SU1392,Rossiya,2024-11-23,13:32,330
SU2507,Yakutia,2024-11-27,02:44,156
SU4889,Ural Airlines,2024-04-07,09:18,194
SU9862,Ural Airlines,2024-09-03,22:52,216
SU4161,Ural Airlines,2024-02-28,15:07,146
SU3046,Nordavia,2024-12-08,17:53,268
SU6885,S7 Airlines,2024-03-19,10:33,339
SU4355,Azimuth,2024-11-27,21:07,74
SU7431,Rossiya,2024-10-18,00:10,85
SU3324,Yakutia,2024-04-03,23:02,121
SU7557,UTair,2024-04-14,12:59,141
SU6745,Aeroflot,2024-09-15,18:55,114
SU9348,Azimuth,2024-03-08,07:02,72
SU5769,Rossiya,2024-07-09,07:01,219
SU3430,Rossiya,2024-07-15,09:55,137
SU7578,Red Wings,2024-10-27,16:49,242
SU2556,Azimuth,2024-11-28,03:19,181
SU5880,Ural Airlines,2024-02-17,21:00,84
SU1605,Aeroflot,2024-11-19,19:53,237
SU7863,Ural Airlines,2024-12-05,20:26,316
SU9827,Yakutia,2024-09-12,16:06,188
SU6151,Rossiya,2024-08-10,13:24,227
SU5017,S7 Airlines,2024-05-18,18:35,240
SU568,S7 Airlines,2024-06-06,13:37,289
SU3838,S7 Airlines,2024-01-03,10:44,223
SU833,Aeroflot,2024-11-19,16:53,176
SU1655,Pobeda,2024-01-26,16:50,257
SU7205,Nordavia,2024-06-19,02:22,183
SU2220,Red Wings,2024-03-27,01:07,114
SU6134,Rossiya,2024-03-06,13:36,201
SU7188,Red Wings,2024-02-09,20:23,144
SU6326,Pobeda,2024-09-23,16:12,199
SU9996,S7 Airlines,2024-06-11,15:09,160
