flightNumber,airline,arrivalDate,arrivalTime,passengers
SU5812,Nordavia,2024-09-10,12:47,202
SU9703,UTair,2024-01-02,15:30,94
SU7325,Rossiya,2024-06-28,14:11,345
SU2812,Nordavia,2024-08-01,19:31,304
SU8746,Pobeda,2024-11-26,14:12,207
SU2684,Ural Airlines,2024-07-27,18:45,318
SU2155,Aeroflot,2024-01-01,23:06,268
SU7895,S7 Airlines,2024-10-25,18:15,191
SU353,Nordavia,2024-02-22,22:13,266
SU6782,Ural Airlines,2024-01-02,16:05,74
SU7278,Azimuth,2024-08-26,01:23,110
SU8571,Yakutia,2024-11-09,01:04,183
SU7985,S7 Airlines,2024-03-11,16:54,75
SU2983,Ural Airlines,2024-08-14,22:13,269
SU7004,Azimuth,2024-05-21,07:55,270
SU6924,Rossiya,2024-06-16,02:30,222
SU4695,Ural Airlines,2024-12-15,23:07,246
SU9612,Yakutia,2024-06-02,19:11,285
SU3871,Pobeda,2024-07-08,15:02,115
SU158,Ural Airlines,2024-11-10,12:44,219
SU6158,Nordavia,2024-01-14,11:27,68
SU9660,Aeroflot,2024-08-20,15:13,331
SU6659,Rossiya,2024-02-17,15:49,197
SU9350,Pobeda,2024-05-11,02:46,70
SU9147,S7 Airlines,2024-06-08,00:13,224
SU4564,Pobeda,2024-09-26,13:27,321
SU931,Yakutia,2024-01-11,20:55,208
SU1778,Azimuth,2024-11-02,05:18,95
SU5475,UTair,2024-09-21,11:32,162
SU9854,Nordavia,2024-11-21,12:53,347
SU226,Azimuth,2024-07-22,05:00,295
SU8236,Azimuth,2024-04-05,06:19,166
SU4780,UTair,2024-05-24,06:02,155
SU8264,S7 Airlines,2024-10-22,23:42,141
SU7301,UTair,2024-11-06,06:44,112
SU3311,Yakutia,2024-09-01,06:13,79
SU2711,Ural Airlines,2024-02-14,06:31,350
SU420,Aeroflot,2024-04-07,01:39,257
SU6003,Red Wings,2024-08-21,06:42,254
SU6487,Yakutia,2024-01-25,01:53,72
SU8528,Ural Airlines,2024-04-16,21:13,287
SU2164,Yakutia,2024-09-17,07:42,182
SU4621,UTair,2024-01-27,20:17,192
SU9954,Ural Airlines,2024-07-28,04:11,111
SU2965,Red Wings,2024-08-19,03:58,220
SU5878,Aeroflot,2024-02-01,23:50,102
SU879,Ural Airlines,2024-05-17,07:45,200
SU1041,Ural Airlines,2024-09-11,22:52,281
SU6521,Ural Airlines,2024-07-10,11:01,222
SU2260,Red Wings,2024-07-16,05:40,264
SU1905,Aeroflot,2024-07-04,09:05,289
SU5332,Azimuth,2024-09-11,04:10,198
SU1941,Nordavia,2024-12-02,20:40,208
SU721,Ural Airlines,2024-12-16,20:53,206
SU770,Aeroflot,2024-06-15,01:46,122
SU9848,Nordavia,2024-10-15,20:27,104
SU6773,Ural Airlines,2024-03-09,12:54,277
SU6077,Pobeda,2024-09-04,04:13,174
SU9296,UTair,2024-02-10,23:20,320
SU3430,Yakutia,2024-02-11,18:42,97
