flightNumber,airline,arrivalDate,arrivalTime,passengers
SU6946,S7 Airlines,2024-10-08,05:53,265
SU6901,Nordavia,2024-06-01,13:28,259
SU1153,Rossiya,2024-09-10,08:29,272
SU9029,S7 Airlines,2024-02-07,10:45,299
SU1526,Azimuth,2024-03-04,08:42,202
SU8524,Nordavia,2024-12-24,05:21,151
SU1762,UTair,2024-09-16,19:00,84
SU2759,Nordavia,2024-04-17,13:59,325
SU3584,Red Wings,2024-04-23,19:36,66
SU9098,S7 Airlines,2024-06-26,00:54,98
SU5076,Nordavia,2024-08-13,15:16,140
SU8985,Azimuth,2024-08-24,16:51,291
SU7351,Nordavia,2024-03-18,04:09,279
SU3179,Aeroflot,2024-01-17,18:53,150
SU7868,Azimuth,2024-01-22,15:35,118
SU2839,Aeroflot,2024-12-26,01:49,316
SU9572,Azimuth,2024-12-24,11:08,86
SU9377,S7 Airlines,2024-08-01,01:01,273
SU972,Ural Airlines,2024-12-26,04:10,290
SU670,Red Wings,2024-03-28,13:43,127
SU1307,Azimuth,2024-03-18,17:32,320
SU6463,Azimuth,2024-01-05,05:39,145
SU5066,S7 Airlines,2024-01-20,20:09,281
SU6949,Red Wings,2024-11-16,03:47,265
SU4792,Ural Airlines,2024-05-14,14:23,283
SU8477,Nordavia,2024-11-10,14:52,131
SU619,Aeroflot,2024-06-28,07:53,164
SU5551,Azimuth,2024-01-17,12:56,203
SU1444,Azimuth,2024-08-17,06:45,105
SU1646,Nordavia,2024-03-20,01:46,53
SU843,Yakutia,2024-12-03,12:29,147
SU6762,Yakutia,2024-08-02,02:23,69
SU356,Pobeda,2024-04-21,22:02,346
SU970,Ural Airlines,2024-03-15,15:16,129
SU5961,Aeroflot,2024-07-01,13:01,120
SU6403,Rossiya,2024-03-06,16:51,52
SU1424,Red Wings,2024-04-20,16:56,337
SU3013,Nordavia,2024-02-24,22:20,57
SU4801,Rossiya,2024-12-28,12:36,135
SU543,Nordavia,2024-07-27,11:47,295
SU9059,Red Wings,2024-09-20,06:05,77
SU7166,Yakutia,2024-05-08,10:03,305
SU6723,UTair,2024-05-27,23:59,258
SU6546,Azimuth,2024-06-06,18:19,67
SU2281,Red Wings,2024-06-11,05:56,311
SU4752,UTair,2024-07-24,12:33,271
SU8531,Ural Airlines,2024-06-19,02:20,345
SU9514,Aeroflot,2024-10-09,09:57,170
SU9343,Azimuth,2024-04-18,14:58,178
SU9802,S7 Airlines,2024-09-27,01:29,190
SU2066,Red Wings,2024-05-11,00:24,300
SU8394,Aeroflot,2024-05-19,09:44,341
SU6159,Red Wings,2024-01-16,20:16,110
SU4473,UTair,2024-06-17,03:46,138
SU3429,Nordavia,2024-12-20,17:53,273
SU590,Red Wings,2024-03-24,08:47,265
SU3210,UTair,2024-07-27,15:14,99
SU6898,Ural Airlines,2024-12-10,20:07,241
SU8437,S7 Airlines,2024-02-12,08:34,70
SU5812,UTair,2024-12-13,06:51,338
SU5312,Pobeda,2024-06-05,05:10,243
SU7945,Azimuth,2024-05-13,06:04,242
SU1461,Nordavia,2024-05-24,12:31,154
SU2859,UTair,2024-01-12,08:03,144
SU9595,Azimuth,2024-02-27,02:58,202
SU9916,S7 Airlines,2024-10-19,00:13,105
SU1525,Rossiya,2024-01-13,04:05,311
SU6640,S7 Airlines,2024-07-28,23:30,191
SU7092,Red Wings,2024-05-01,14:55,51
SU2941,Rossiya,2024-02-14,22:08,54
SU8434,Pobeda,2024-01-25,07:56,89
SU9986,Azimuth,2024-06-27,09:27,170
SU8084,Yakutia,2024-07-02,09:51,333
SU5407,Aeroflot,2024-09-15,01:56,132
SU5323,Rossiya,2024-09-20,13:49,79
SU8036,Pobeda,2024-09-12,16:37,266
SU423,Red Wings,2024-03-24,01:24,323
SU3759,Nordavia,2024-10-26,04:59,168
SU130,S7 Airlines,2024-01-25,23:26,228
SU8715,Ural Airlines,2024-05-21,15:04,287
SU6790,Red Wings,2024-07-05,05:34,279
SU3058,Ural Airlines,2024-05-10,02:45,139
SU401,Pobeda,2024-04-25,05:50,316
SU8705,Ural Airlines,2024-03-19,03:27,115
SU440,Aeroflot,2024-02-13,01:58,159
