flightNumber,airline,arrivalDate,arrivalTime,passengers
SU642,Azimuth,2024-01-04,07:03,216
SU1456,UTair,2024-12-22,01:14,94
SU4812,S7 Airlines,2024-12-25,03:29,252
SU7663,S7 Airlines,2024-07-27,20:29,329
SU6262,Yakutia,2024-01-03,05:09,99
SU9660,Ural Airlines,2024-05-19,00:33,271
SU4578,UTair,2024-03-12,23:54,213
SU6061,Pobeda,2024-01-26,05:04,76
SU106,S7 Airlines,2024-05-27,14:46,77
SU3061,Red Wings,2024-03-14,02:41,348
SU6197,Ural Airlines,2024-04-22,20:13,329
SU3097,Yakutia,2024-10-25,08:07,133
SU3102,Rossiya,2024-03-26,07:29,69
SU7008,Aeroflot,2024-08-18,05:12,115
SU1005,Ural Airlines,2024-05-14,13:42,81
SU2530,S7 Airlines,2024-12-20,22:26,68
SU2513,Yakutia,2024-08-03,07:00,167
SU1853,Rossiya,2024-07-11,10:12,66
SU6956,Yakutia,2024-07-22,22:30,295
SU9063,Nordavia,2024-07-04,21:17,284
SU5287,UTair,2024-08-03,20:47,321
SU1076,Azimuth,2024-08-18,13:25,329
SU4468,UTair,2024-03-08,17:53,215
SU5296,Red Wings,2024-10-04,21:55,288
SU3903,Nordavia,2024-10-18,11:05,266
SU4069,Red Wings,2024-01-12,23:34,275
SU3790,Azimuth,2024-02-27,04:38,263
SU8242,Yakutia,2024-12-15,03:28,161
SU2024,Azimuth,2024-07-04,04:28,192
SU4676,UTair,2024-07-13,22:21,248
SU9802,Nordavia,2024-04-06,00:43,144
SU6801,Red Wings,2024-02-11,23:00,202
SU6473,Rossiya,2024-08-14,22:48,336
SU7773,S7 Airlines,2024-10-25,09:39,235
SU2928,Aeroflot,2024-04-19,20:35,186
SU9510,Azimuth,2024-09-27,06:01,288
SU6651,UTair,2024-11-09,12:18,230
SU3083,Rossiya,2024-01-08,13:18,162
SU5445,Azimuth,2024-05-23,04:36,81
SU405,Ural Airlines,2024-08-25,08:51,222
SU4376,Rossiya,2024-12-04,21:37,268
SU9646,Pobeda,2024-10-26,10:48,218
SU5284,Pobeda,2024-09-04,20:12,276
SU7189,UTair,2024-07-21,06:35,333
SU1308,S7 Airlines,2024-12-03,19:12,219
SU1366,Red Wings,2024-06-16,00:55,56
SU7196,Nordavia,2024-12-28,08:34,146
SU3819,Ural Airlines,2024-04-02,04:45,112
SU6204,Rossiya,2024-11-21,05:21,64
SU9019,Yakutia,2024-12-13,10:49,308
SU6389,Azimuth,2024-01-11,01:17,270
SU3570,Rossiya,2024-07-28,10:09,300
SU565,Aeroflot,2024-04-17,15:59,296
SU2186,Pobeda,2024-12-08,20:37,207
SU9587,S7 Airlines,2024-01-09,09:23,168
SU9969,UTair,2024-01-28,02:35,331
SU1750,Rossiya,2024-09-13,08:55,125
SU2510,Azimuth,2024-04-25,21:34,66
SU4561,Yakutia,2024-01-06,03:13,125
