flightNumber,airline,arrivalDate,arrivalTime,passengers
SU7435,UTair,2024-10-01,17:01,275
SU6789,UTair,2024-10-28,05:58,59
SU9623,Red Wings,2024-10-18,00:31,198
SU2215,Aeroflot,2024-10-20,20:58,137
SU9651,Azimuth,2024-08-16,05:14,156
SU9456,Aeroflot,2024-09-01,15:41,205
SU2323,Pobeda,2024-04-20,02:35,259
SU841,S7 Airlines,2024-07-26,23:36,313
SU3748,Yakutia,2024-04-06,17:27,224
SU6764,Ural Airlines,2024-09-23,04:50,320
SU140,Pobeda,2024-07-25,13:02,286
SU1322,Azimuth,2024-06-20,14:35,235
SU9529,Pobeda,2024-03-10,19:50,138
SU8135,Nordavia,2024-01-24,06:27,294
SU2108,Rossiya,2024-05-28,14:15,138
SU230,UTair,2024-08-13,12:35,68
SU1756,Rossiya,2024-02-21,17:51,308
SU2042,Rossiya,2024-10-04,18:46,66
SU862,Yakutia,2024-09-18,03:31,245
SU9613,Ural Airlines,2024-08-11,01:41,131
SU2225,Yakutia,2024-08-06,13:01,282
SU7464,Azimuth,2024-08-04,03:24,229
SU9713,Rossiya,2024-02-06,18:48,207
SU100,Pobeda,2024-02-18,22:36,64
SU2966,Red Wings,2024-04-21,22:16,183
SU8504,Ural Airlines,2024-09-22,03:52,60
SU3561,Rossiya,2024-07-16,10:56,194
SU2232,Nordavia,2024-05-09,23:59,187
SU4997,Red Wings,2024-03-08,07:43,181
SU2618,Red Wings,2024-08-28,00:01,232
SU6918,Yakutia,2024-02-22,10:03,67
SU4315,Yakutia,2024-10-17,09:52,94
SU1369,Ural Airlines,2024-03-10,17:31,279
SU5025,S7 Airlines,2024-04-09,21:23,209
SU1809,Rossiya,2024-06-19,21:13,257
SU5213,Aeroflot,2024-02-04,06:04,189
SU6905,Nordavia,2024-12-04,09:53,293
SU5492,UTair,2024-11-20,07:31,297
SU5637,UTair,2024-11-03,17:39,300
SU4318,Aeroflot,2024-04-25,21:02,97
SU3509,Azimuth,2024-12-10,18:38,345
SU6374,UTair,2024-03-20,19:59,342
SU776,UTair,2024-11-21,00:09,145
SU2549,Azimuth,2024-02-13,22:06,334
SU7395,Red Wings,2024-04-25,10:33,128
SU1361,Rossiya,2024-11-28,08:54,119
SU3354,Rossiya,2024-04-18,10:57,182
SU9014,Azimuth,2024-06-12,00:56,107
SU2128,S7 Airlines,2024-09-08,07:10,272
SU6227,Rossiya,2024-05-13,17:30,348
SU6172,Azimuth,2024-03-07,16:54,271
SU9789,S7 Airlines,2024-10-21,20:12,243
SU2540,Yakutia,2024-01-07,22:44,276
SU7196,Nordavia,2024-04-06,04:47,66
SU677,Aeroflot,2024-06-22,08:52,124
SU2942,Nordavia,2024-05-05,11:32,294
SU3742,Yakutia,2024-09-05,20:36,181
SU2074,Red Wings,2024-01-08,03:15,288
SU6925,Rossiya,2024-03-28,11:16,182
SU9599,Aeroflot,2024-05-06,20:19,230
SU4006,Rossiya,2024-12-12,01:33,163
SU3589,Aeroflot,2024-01-25,15:30,207
SU9703,S7 Airlines,2024-03-03,01:48,149
SU3095,Rossiya,2024-10-24,13:22,164
SU8360,Aeroflot,2024-08-08,06:10,64
SU3258,UTair,2024-04-28,08:52,137
SU677,S7 Airlines,2024-05-02,00:57,177
SU2647,Azimuth,2024-12-28,11:10,184
SU5954,Pobeda,2024-07-28,08:42,120
SU9212,S7 Airlines,2024-12-07,17:59,149
SU6763,Aeroflot,2024-02-21,04:56,238
SU5968,Pobeda,2024-05-11,22:53,119
SU261,Ural Airlines,2024-04-05,19:25,292
SU7835,Pobeda,2024-05-15,13:24,271
SU937,UTair,2024-12-17,00:36,311
SU837,Ural Airlines,2024-03-13,01:55,118
SU2027,Rossiya,2024-06-20,11:01,128
SU9391,Yakutia,2024-02-15,10:01,149
SU1276,S7 Airlines,2024-08-11,06:11,308
SU8815,Ural Airlines,2024-02-15,00:00,62
SU7318,Ural Airlines,2024-07-05,13:30,51
SU2042,Azimuth,2024-04-17,23:55,185
SU7295,S7 Airlines,2024-04-28,19:19,186
SU5134,UTair,2024-06-16,23:17,141
SU1544,Ural Airlines,2024-05-04,08:34,92
SU7836,Nordavia,2024-12-19,00:36,291
SU1578,Yakutia,2024-04-18,00:32,349
SU9013,Pobeda,2024-08-21,08:09,300
SU9203,Ural Airlines,2024-02-21,20:28,139
SU6074,Azimuth,2024-12-23,00:04,182
SU3468,UTair,2024-04-09,22:00,305
SU946,Aeroflot,2024-08-18,11:25,277
SU3502,Nordavia,2024-03-12,04:02,99
SU3606,Nordavia,2024-07-14,07:50,111
SU2139,Aeroflot,2024-09-21,12:51,86
SU1041,UTair,2024-08-25,12:16,200
SU7796,Rossiya,2024-10-09,14:23,253
SU3844,Rossiya,2024-04-19,09:48,303
SU4817,Azimuth,2024-07-02,16:46,307
SU5134,S7 Airlines,2024-11-20,06:37,215
