flightNumber,airline,arrivalDate,arrivalTime,passengers
SU1458,Nordavia,2024-05-05,03:03,250
SU4178,Aeroflot,2024-11-08,04:45,140
SU1027,Ural Airlines,2024-05-01,19:26,94
SU1992,UTair,2024-07-28,02:52,68
SU4974,Rossiya,2024-06-09,20:41,251
SU4300,Ural Airlines,2024-08-08,17:40,188
SU2760,Red Wings,2024-01-24,06:56,200
SU6540,Nordavia,2024-03-21,05:27,166
SU2251,Azimuth,2024-02-23,04:23,235
SU4804,S7 Airlines,2024-03-09,07:49,115
SU8051,Rossiya,2024-09-18,16:04,301
SU2707,Rossiya,2024-08-21,20:10,106
SU9384,Ural Airlines,2024-05-05,00:16,143
SU1880,Ural Airlines,2024-04-13,12:30,240
SU8808,Rossiya,2024-11-08,13:27,60
SU5383,Pobeda,2024-05-23,04:24,177
SU9790,Red Wings,2024-06-03,01:33,263
SU2433,Rossiya,2024-08-12,19:31,291
SU9673,UTair,2024-04-18,23:02,321
SU7155,Yakutia,2024-02-19,03:02,164
SU7554,Pobeda,2024-07-11,01:39,268
SU8946,Red Wings,2024-01-06,13:46,144
SU5081,UTair,2024-05-07,17:10,106
SU330,Azimuth,2024-03-09,03:05,202
SU3794,Rossiya,2024-07-16,02:33,329
SU1612,Azimuth,2024-09-14,19:06,84
SU5997,Aeroflot,2024-10-11,18:37,167
SU1143,S7 Airlines,2024-09-24,21:34,130
SU1983,Azimuth,2024-07-06,09:14,68
SU5588,Ural Airlines,2024-12-20,17:56,315
SU1335,Red Wings,2024-01-18,18:19,334
SU4186,Pobeda,2024-10-22,01:27,67
SU1296,S7 Airlines,2024-02-28,15:44,187
SU1422,Aeroflot,2024-04-08,06:46,339
SU9074,S7 Airlines,2024-05-13,02:57,119
SU1944,Azimuth,2024-01-14,12:05,119
SU1809,Red Wings,2024-09-19,11:37,144
SU8478,UTair,2024-09-24,11:56,132
SU3718,Nordavia,2024-07-10,17:55,298
SU7139,Azimuth,2024-08-01,10:07,73
SU8802,Aeroflot,2024-05-19,17:44,104
SU472,Red Wings,2024-10-27,16:52,89
SU4734,Rossiya,2024-06-04,17:20,217
SU1763,Rossiya,2024-03-02,03:56,349
SU2516,Red Wings,2024-08-26,10:59,123
SU3980,Nordavia,2024-06-02,08:11,323
SU4729,Red Wings,2024-08-25,09:48,277
SU3484,UTair,2024-06-11,03:15,120
SU823,Yakutia,2024-04-20,08:21,210
SU3271,Ural Airlines,2024-04-18,02:53,258
SU548,Aeroflot,2024-11-18,20:56,204
SU9110,Pobeda,2024-06-15,08:33,219
SU9188,UTair,2024-05-03,13:53,350
SU673,Rossiya,2024-09-16,08:15,280
SU2547,UTair,2024-10-26,06:04,235
SU2446,Pobeda,2024-11-15,04:23,205
SU3839,Ural Airlines,2024-01-14,06:49,167
SU1602,Aeroflot,2024-08-23,11:53,256
SU3641,UTair,2024-05-13,04:15,95
SU9696,Pobeda,2024-09-01,13:35,342
SU6831,Yakutia,2024-06-13,21:23,338
SU5636,Yakutia,2024-01-03,00:38,348
SU2562,Azimuth,2024-06-21,19:21,304
SU2705,Pobeda,2024-09-05,20:04,71
SU7236,Yakutia,2024-07-25,18:13,82
SU2387,UTair,2024-12-15,12:20,66
SU7219,Red Wings,2024-08-09,15:55,63
SU9431,S7 Airlines,2024-03-02,07:03,143
SU7622,Yakutia,2024-08-04,02:44,105
SU3015,S7 Airlines,2024-10-09,20:09,191
SU7100,Ural Airlines,2024-12-13,08:11,81
SU6290,Pobeda,2024-04-25,15:30,227
SU6062,Rossiya,2024-02-09,20:56,344
SU6250,Ural Airlines,2024-04-25,19:16,117
SU375,S7 Airlines,2024-12-10,12:18,134
SU6995,Rossiya,2024-09-24,15:50,184
SU6138,Azimuth,2024-03-06,07:22,127
SU3501,Aeroflot,2024-07-01,11:27,195
SU9538,Yakutia,2024-07-20,00:41,345
SU6194,Pobeda,2024-09-12,07:23,134
SU1928,Nordavia,2024-08-23,07:57,203
SU2050,Red Wings,2024-03-24,05:31,71
SU449,Azimuth,2024-12-15,01:05,223
SU1799,Yakutia,2024-10-21,00:23,314
SU7958,UTair,2024-05-18,11:42,207
SU5090,Red Wings,2024-12-09,02:07,248
SU8479,Nordavia,2024-06-15,23:05,143
SU652,UTair,2024-10-22,06:46,259
SU435,Yakutia,2024-05-24,21:12,217
SU554,Azimuth,2024-07-14,20:29,200
SU4875,Aeroflot,2024-11-28,06:22,209
SU3935,Yakutia,2024-01-20,05:38,307
SU1146,UTair,2024-10-19,02:45,337
SU6297,Red Wings,2024-01-09,19:40,145
SU3855,Pobeda,2024-06-18,14:12,63
SU3567,Azimuth,2024-04-07,23:43,257
SU1831,Rossiya,2024-08-17,05:37,99
SU1522,Yakutia,2024-11-24,21:43,235
SU2589,Aeroflot,2024-06-10,13:22,122
SU8184,S7 Airlines,2024-05-05,15:06,327
SU674,Rossiya,2024-12-01,06:26,95
SU445,S7 Airlines,2024-09-13,21:42,146
SU9824,Ural Airlines,2024-04-11,12:26,185
SU4435,Azimuth,2024-08-16,10:58,284
SU4648,Azimuth,2024-11-11,11:04,140
SU6149,UTair,2024-01-21,16:43,132
SU1031,Aeroflot,2024-11-09,19:09,335
SU4703,Rossiya,2024-12-12,17:38,225
SU8937,Ural Airlines,2024-01-26,20:58,73
SU4719,Nordavia,2024-12-15,00:24,282
SU4927,Pobeda,2024-04-02,19:04,345
SU4844,Pobeda,2024-04-11,20:26,158
SU6452,S7 Airlines,2024-03-26,10:50,84
SU8864,Pobeda,2024-10-08,06:02,217
SU3248,UTair,2024-04-12,15:52,277
SU2370,Aeroflot,2024-01-18,04:01,152
SU5481,S7 Airlines,2024-11-04,17:41,233
SU4135,UTair,2024-01-24,09:19,196
SU9591,Azimuth,2024-07-10,02:33,232
SU2736,Aeroflot,2024-08-05,05:41,329
SU8462,Yakutia,2024-11-16,01:09,160
SU5368,Ural Airlines,2024-10-22,03:09,296
SU6222,Rossiya,2024-04-09,18:57,280
SU7621,Rossiya,2024-04-14,04:21,130
SU9839,Nordavia,2024-01-18,18:29,274
SU8108,Ural Airlines,2024-08-12,20:10,146
SU8164,Aeroflot,2024-09-09,04:51,168
SU7268,Azimuth,2024-05-13,07:10,236
SU8931,Red Wings,2024-11-10,03:26,112
SU1009,Nordavia,2024-09-24,14:28,147
SU5620,UTair,2024-05-27,12:08,50
SU6698,Red Wings,2024-01-14,00:10,334
SU2899,Azimuth,2024-04-08,14:10,248
SU4570,Azimuth,2024-04-13,15:29,218
SU1709,Azimuth,2024-12-08,02:02,99
