flightNumber,airline,arrivalDate,arrivalTime,passengers
SU2114,Rossiya,2024-06-27,08:00,58
SU497,Nordavia,2024-03-21,17:26,171
SU3433,Ural Airlines,2024-04-15,00:41,324
SU6539,Rossiya,2024-08-26,16:08,254
SU5568,Pobeda,2024-08-10,16:09,76
SU4805,Yakutia,2024-01-05,12:18,273
SU4928,Azimuth,2024-11-07,03:42,113
SU6004,Aeroflot,2024-05-18,18:03,112
SU3358,Ural Airlines,2024-02-23,20:00,153
SU7855,Red Wings,2024-06-18,17:40,61
SU6025,Red Wings,2024-02-12,12:37,123
SU1909,Pobeda,2024-09-26,20:06,84
SU1139,UTair,2024-01-02,09:55,256
SU5586,Pobeda,2024-11-08,11:33,256
SU4016,Aeroflot,2024-04-25,21:12,331
SU3316,Ural Airlines,2024-01-20,12:35,166
SU3979,Rossiya,2024-10-13,17:42,278
SU9287,Rossiya,2024-10-17,03:21,279
SU329,Nordavia,2024-02-27,05:18,250
SU367,Yakutia,2024-07-13,22:33,286
SU8479,Yakutia,2024-07-26,16:08,255
SU1830,Rossiya,2024-03-15,22:34,58
SU3979,Aeroflot,2024-04-06,18:31,227
SU8591,Yakutia,2024-04-02,22:00,317
SU2663,Rossiya,2024-11-01,20:09,282
SU6812,Aeroflot,2024-10-04,01:12,249
SU5701,UTair,2024-05-03,21:37,337
SU3677,Ural Airlines,2024-08-04,05:22,96
SU9044,Nordavia,2024-10-11,16:35,286
SU2423,Red Wings,2024-12-02,15:51,216
SU571,Ural Airlines,2024-05-12,17:57,66
SU9340,UTair,2024-01-03,20:11,95
SU175,S7 Airlines,2024-01-20,21:18,307
SU2562,Aeroflot,2024-02-18,09:19,278
SU2245,Rossiya,2024-02-27,18:33,293
SU8085,Yakutia,2024-10-07,11:29,174
SU1130,Ural Airlines,2024-09-27,17:00,106
SU6474,Pobeda,2024-08-05,01:27,192
SU8762,Yakutia,2024-12-22,15:37,341
SU3192,Yakutia,2024-03-12,15:00,346
SU9183,Red Wings,2024-06-10,17:12,109
SU425,UTair,2024-03-03,03:46,186
SU9546,Aeroflot,2024-07-01,05:01,279
SU2711,Rossiya,2024-02-13,11:19,138
SU150,Nordavia,2024-10-20,03:53,121
SU1315,Rossiya,2024-10-28,07:29,220
SU8239,Rossiya,2024-06-16,07:37,272
SU179,Ural Airlines,2024-07-28,06:04,299
SU2183,S7 Airlines,2024-12-17,00:46,296
SU7316,Pobeda,2024-02-17,19:24,280
SU1786,S7 Airlines,2024-10-15,19:28,100
SU767,Rossiya,2024-08-27,01:00,112
SU4001,Nordavia,2024-11-22,05:33,212
