flightNumber,airline,arrivalDate,arrivalTime,passengers
SU3027,Rossiya,2024-04-13,15:35,129
SU732,Ural Airlines,2024-12-20,10:53,89
SU8084,Azimuth,2024-11-18,11:42,143
SU7209,Azimuth,2024-08-19,12:10,181
SU8239,Aeroflot,2024-04-05,04:22,337
SU1050,UTair,2024-06-06,01:10,237
SU5058,UTair,2024-02-02,01:02,334
SU7437,Ural Airlines,2024-02-05,12:00,84
SU7687,Yakutia,2024-12-21,20:43,252
SU1167,Red Wings,2024-10-12,20:39,139
SU9165,Aeroflot,2024-04-25,19:16,236
SU8501,Ural Airlines,2024-12-27,09:50,69
SU1603,Aeroflot,2024-03-14,20:22,271
SU5333,Ural Airlines,2024-05-25,13:07,179
SU2304,S7 Airlines,2024-06-27,18:06,307
SU225,Nordavia,2024-08-27,16:26,306
SU8168,Nordavia,2024-04-27,02:50,110
SU5740,Rossiya,2024-02-11,00:21,191
SU5447,Azimuth,2024-11-13,17:59,324
SU3303,Pobeda,2024-08-17,10:57,259
SU7941,S7 Airlines,2024-05-21,02:10,59
SU4233,S7 Airlines,2024-12-12,09:00,257
SU4594,Rossiya,2024-12-20,13:56,143
SU5724,Rossiya,2024-06-09,23:54,320
SU2271,S7 Airlines,2024-08-11,14:23,228
SU2457,Red Wings,2024-01-25,22:57,315
SU5340,Pobeda,2024-11-11,02:53,302
SU5284,Azimuth,2024-05-12,07:00,325
SU1153,Rossiya,2024-10-26,16:35,175
SU4120,Yakutia,2024-04-20,10:25,195
SU480,Nordavia,2024-12-21,09:30,289
SU8326,Red Wings,2024-07-20,21:53,173
SU1693,Rossiya,2024-06-21,17:48,325
SU8978,Rossiya,2024-09-19,04:22,339
SU4872,UTair,2024-05-03,08:00,145
SU4517,Nordavia,2024-04-07,05:29,252
SU8839,UTair,2024-07-08,20:55,235
SU2536,Nordavia,2024-05-05,15:35,160
SU8770,Rossiya,2024-02-22,20:07,279
SU4755,Aeroflot,2024-03-26,07:42,198
SU9901,Pobeda,2024-03-02,14:46,249
SU239,Aeroflot,2024-07-03,18:18,254
SU7863,UTair,2024-03-06,17:19,268
SU2727,Red Wings,2024-11-04,02:22,308
SU6072,Ural Airlines,2024-05-06,16:42,274
SU5614,Azimuth,2024-08-21,06:41,86
SU126,Red Wings,2024-06-27,17:44,92
SU4664,Red Wings,2024-08-18,17:10,99
SU8478,Pobeda,2024-09-27,18:13,209
SU5586,Yakutia,2024-10-14,19:55,71
SU1977,S7 Airlines,2024-08-04,18:24,240
SU6533,S7 Airlines,2024-10-12,08:46,282
SU1630,Aeroflot,2024-04-18,21:12,316
SU5073,Nordavia,2024-03-24,22:35,247
SU5902,S7 Airlines,2024-11-16,00:46,301
SU9703,Ural Airlines,2024-07-06,20:55,227
SU5197,UTair,2024-03-27,22:49,255
SU3899,Red Wings,2024-04-05,08:00,283
SU2055,Aeroflot,2024-03-09,02:55,239
SU699,Nordavia,2024-09-13,02:00,66
SU6083,Azimuth,2024-02-10,16:38,258
SU3773,Rossiya,2024-11-25,13:17,307
SU6651,Rossiya,2024-12-18,20:26,162
SU1680,Yakutia,2024-04-26,16:32,243
SU9063,S7 Airlines,2024-01-06,03:26,262
SU8922,Red Wings,2024-07-06,06:24,68
SU6250,UTair,2024-03-19,19:07,249
SU3866,Pobeda,2024-06-26,02:22,63
SU5740,UTair,2024-08-18,21:48,163
SU9678,Pobeda,2024-08-11,17:51,94
SU9232,Yakutia,2024-08-08,13:07,58
SU3788,UTair,2024-11-12,07:11,172
SU7630,Yakutia,2024-05-28,21:26,200
SU5889,Nordavia,2024-11-19,00:28,236
SU5961,Red Wings,2024-11-21,05:07,131
SU1776,Yakutia,2024-04-05,04:53,252
SU8897,UTair,2024-02-07,23:24,74
SU3784,S7 Airlines,2024-01-05,20:26,60
SU3260,UTair,2024-04-25,14:42,253
SU7229,Nordavia,2024-11-13,08:12,117
SU2293,Aeroflot,2024-03-17,15:56,154
SU1715,Azimuth,2024-06-04,20:57,308
SU8449,Ural Airlines,2024-09-11,19:20,198
SU9604,Ural Airlines,2024-02-04,09:05,224
SU5375,Yakutia,2024-09-24,07:38,101
SU4203,Yakutia,2024-03-06,05:34,143
SU5483,Yakutia,2024-05-06,06:39,257
SU5031,Rossiya,2024-04-20,21:52,186
SU9583,Aeroflot,2024-06-09,02:55,108
SU911,Rossiya,2024-09-16,17:30,241
SU503,Rossiya,2024-11-26,21:56,211
SU8704,Rossiya,2024-07-13,12:09,165
SU2175,Aeroflot,2024-06-20,09:16,288
SU3006,Pobeda,2024-06-17,19:46,81
SU9024,Azimuth,2024-04-18,15:15,264
SU1646,UTair,2024-07-18,10:02,126
SU6549,S7 Airlines,2024-10-12,02:52,115
SU3042,Yakutia,2024-04-17,21:54,206
SU8101,Azimuth,2024-10-23,05:40,298
SU7444,Ural Airlines,2024-03-27,06:07,347
SU6317,Aeroflot,2024-09-24,05:31,85
SU6695,Rossiya,2024-02-12,04:26,322
SU8324,Red Wings,2024-01-11,11:19,182
SU9075,UTair,2024-12-14,19:43,280
SU7483,Rossiya,2024-11-13,20:42,180
SU5496,UTair,2024-02-17,02:04,222
SU3896,Red Wings,2024-03-04,16:44,200
SU5822,Yakutia,2024-08-22,21:41,192
SU7896,Ural Airlines,2024-08-11,05:26,251
SU9497,Yakutia,2024-04-26,01:35,332
SU9282,Aeroflot,2024-08-03,02:39,217
SU1519,Ural Airlines,2024-01-13,18:22,145
SU5939,UTair,2024-11-17,12:27,242
SU560,Aeroflot,2024-03-18,20:47,270
SU9176,Yakutia,2024-10-04,20:12,108
SU7547,Yakutia,2024-01-13,05:32,345
SU2371,Nordavia,2024-06-07,01:37,86
SU130,Azimuth,2024-03-21,14:28,276
SU3237,Azimuth,2024-09-04,12:51,126
SU6179,Yakutia,2024-03-24,04:50,317
SU9596,Yakutia,2024-09-01,21:39,92
SU2118,Ural Airlines,2024-06-26,07:25,176
SU4154,Rossiya,2024-04-28,05:00,149
SU8470,UTair,2024-09-20,04:31,115
SU1609,UTair,2024-08-03,15:18,87
SU7271,Nordavia,2024-02-12,14:36,277
SU290,Red Wings,2024-07-07,23:45,138
SU9560,Ural Airlines,2024-02-25,02:20,349
SU5761,UTair,2024-11-27,02:14,207
SU9151,Yakutia,2024-04-02,21:55,212
SU2919,Nordavia,2024-02-01,20:20,83
SU5899,S7 Airlines,2024-10-21,04:44,156
SU7587,Rossiya,2024-03-21,05:31,275
SU5113,Aeroflot,2024-12-09,01:12,272
SU8096,Nordavia,2024-05-20,13:03,96
SU7182,Rossiya,2024-11-17,10:26,53
SU7198,S7 Airlines,2024-10-04,16:09,241
SU7462,Yakutia,2024-06-10,13:32,116
SU3202,Aeroflot,2024-01-20,02:51,75
SU9716,Red Wings,2024-06-27,16:27,329
SU7858,Aeroflot,2024-01-12,20:08,301
SU7176,Ural Airlines,2024-08-08,11:37,74
SU1200,S7 Airlines,2024-03-20,16:02,325
SU6827,Ural Airlines,2024-06-08,00:51,169
SU8108,UTair,2024-12-12,23:14,158
SU7724,Nordavia,2024-04-14,07:02,121
SU3482,Rossiya,2024-07-01,10:52,261
SU5388,Red Wings,2024-09-24,20:16,118
SU3971,Rossiya,2024-10-20,06:24,241
SU7805,Yakutia,2024-10-27,09:24,209
SU2691,Nordavia,2024-04-22,01:11,299
SU7148,UTair,2024-04-10,22:07,103
SU6412,Nordavia,2024-05-08,20:03,308
SU425,Pobeda,2024-10-14,01:14,83
SU7560,Nordavia,2024-03-27,07:40,216
SU5295,Pobeda,2024-05-23,17:50,233
SU5828,Pobeda,2024-06-04,23:46,232
SU5661,S7 Airlines,2024-10-08,20:24,248
SU1520,Yakutia,2024-06-21,02:23,278
SU5111,Aeroflot,2024-01-17,12:30,80
SU2341,UTair,2024-05-17,13:18,138
SU8900,Nordavia,2024-08-06,10:24,265
SU4421,S7 Airlines,2024-04-22,16:14,238
SU3155,Ural Airlines,2024-11-11,17:41,108
SU1558,Ural Airlines,2024-08-04,15:33,58
SU7246,Ural Airlines,2024-12-13,05:43,296
SU8721,Azimuth,2024-07-25,19:08,240
SU8216,UTair,2024-11-13,21:06,256
SU1640,Rossiya,2024-07-08,01:48,318
SU3292,Azimuth,2024-03-19,20:19,342
SU8021,Aeroflot,2024-06-28,01:01,126
SU3368,UTair,2024-05-16,12:06,333
SU2219,Azimuth,2024-08-06,11:40,339
SU1100,Pobeda,2024-07-28,07:29,174
SU380,Rossiya,2024-10-21,03:48,274
SU9002,UTair,2024-10-21,21:40,285
SU2973,Red Wings,2024-01-13,03:25,143
SU9968,Ural Airlines,2024-09-23,21:11,325
SU3381,UTair,2024-04-22,16:36,281
SU9152,Aeroflot,2024-12-25,01:47,305
SU8128,Red Wings,2024-02-25,09:54,170
SU8231,Pobeda,2024-04-23,12:48,254
SU873,Yakutia,2024-10-12,21:25,187
SU3226,Ural Airlines,2024-09-23,07:25,175
SU7240,Red Wings,2024-05-11,16:30,65
SU9250,Yakutia,2024-03-16,16:23,91
SU6638,Ural Airlines,2024-01-26,18:32,152
SU9839,Yakutia,2024-12-05,15:07,101
SU7093,Red Wings,2024-07-19,19:08,191
SU5046,Azimuth,2024-01-15,16:10,300
SU7403,Pobeda,2024-05-17,23:51,183
SU2277,Rossiya,2024-10-18,03:30,152
SU4973,Aeroflot,2024-07-22,02:40,245
SU8943,Aeroflot,2024-03-14,18:49,73
SU6360,Aeroflot,2024-01-24,18:30,173
SU1606,Azimuth,2024-02-14,06:28,270
SU6140,Pobeda,2024-09-20,01:47,120
SU6573,Ural Airlines,2024-06-11,08:54,139
SU7082,Pobeda,2024-12-15,08:30,56
SU9652,Rossiya,2024-08-04,17:03,206
SU4622,Pobeda,2024-01-20,06:26,132
SU6927,S7 Airlines,2024-12-13,20:44,90
SU2647,UTair,2024-12-25,07:55,125
SU5128,Nordavia,2024-08-27,20:30,93
SU2894,S7 Airlines,2024-05-12,17:47,210
SU2927,Ural Airlines,2024-07-28,12:34,82
SU2720,Azimuth,2024-02-26,12:22,69
SU746,Nordavia,2024-10-22,12:20,349
SU6321,Ural Airlines,2024-02-13,06:49,325
SU4379,Yakutia,2024-09-11,11:49,162
SU5806,Yakutia,2024-05-07,10:48,302
SU9275,Pobeda,2024-04-19,06:59,153
SU8943,Pobeda,2024-12-25,05:50,308
SU6054,S7 Airlines,2024-01-22,19:14,267
SU689,S7 Airlines,2024-08-17,21:58,349
SU2601,Ural Airlines,2024-06-22,22:12,232
SU3754,Red Wings,2024-05-14,16:57,70
SU4617,Pobeda,2024-07-18,03:13,100
SU7673,Rossiya,2024-03-16,23:37,103
SU6257,UTair,2024-04-22,07:30,63
SU1796,Yakutia,2024-09-26,01:26,187
SU1779,Nordavia,2024-10-15,19:20,223
SU8651,Nordavia,2024-06-08,00:31,138
SU3366,UTair,2024-01-20,13:34,291
SU4651,Pobeda,2024-01-14,10:41,313
SU6619,Aeroflot,2024-02-09,07:40,172
SU3817,UTair,2024-08-15,14:32,275
SU7812,Azimuth,2024-01-02,06:33,118
SU5338,Rossiya,2024-02-13,23:17,258
SU5825,Rossiya,2024-04-05,14:44,205
SU3141,Red Wings,2024-01-21,22:10,175
SU9127,UTair,2024-10-14,10:27,194
SU9197,Aeroflot,2024-09-05,00:04,250
SU2157,Red Wings,2024-07-03,00:47,167
SU3002,Aeroflot,2024-03-27,15:42,348
SU8119,Yakutia,2024-10-27,05:01,85
SU6564,UTair,2024-02-08,15:10,252
SU9844,Pobeda,2024-05-09,00:42,112
SU9815,Ural Airlines,2024-06-28,20:51,97
SU7584,Rossiya,2024-03-15,04:55,69
SU9549,Yakutia,2024-08-22,23:38,213
SU7002,Yakutia,2024-12-05,06:56,304
SU7628,Nordavia,2024-03-15,22:59,290
SU747,Rossiya,2024-03-20,05:05,344
SU9176,Yakutia,2024-11-10,15:36,85
SU271,Nordavia,2024-06-25,06:58,224
SU9803,Nordavia,2024-11-12,11:58,132
SU5119,Aeroflot,2024-05-10,10:57,314
SU9607,Ural Airlines,2024-02-19,09:56,310
SU9545,Ural Airlines,2024-09-23,07:53,239
SU4947,Aeroflot,2024-02-03,20:17,263
SU2717,Rossiya,2024-01-11,15:15,222
SU5322,Rossiya,2024-08-04,19:10,123
SU5909,Red Wings,2024-08-05,02:56,192
SU7425,Nordavia,2024-05-02,21:51,55
