flightNumber,airline,arrivalDate,arrivalTime,passengers
SU1206,Ural Airlines,2024-03-02,06:06,304
SU6450,Aeroflot,2024-06-20,21:27,222
SU7327,UTair,2024-01-21,14:33,66
SU1422,Red Wings,2024-11-24,06:22,183
SU1342,Red Wings,2024-07-15,21:10,275
SU1368,Nordavia,2024-11-07,12:30,249
SU1925,Red Wings,2024-06-24,06:20,303
SU9044,Red Wings,2024-10-19,21:11,165
SU400,S7 Airlines,2024-07-16,19:25,278
SU122,Azimuth,2024-09-27,23:43,132
SU7766,UTair,2024-02-16,22:54,172
SU7172,Yakutia,2024-09-15,11:42,286
SU3079,Rossiya,2024-03-16,02:14,294
SU7301,Rossiya,2024-10-25,02:36,272
SU9602,Aeroflot,2024-11-23,06:37,112
SU7296,Rossiya,2024-11-04,03:09,116
SU3294,Rossiya,2024-04-26,03:54,78
SU6345,Aeroflot,2024-05-18,13:14,157
SU1825,Aeroflot,2024-02-26,14:05,199
SU2027,Red Wings,2024-12-16,20:44,151
SU3681,Red Wings,2024-08-21,19:02,315
SU1631,S7 Airlines,2024-01-05,10:40,255
SU8183,S7 Airlines,2024-12-21,06:44,65
SU8659,Rossiya,2024-06-05,09:27,59
SU8713,S7 Airlines,2024-08-17,23:00,224
SU2911,Rossiya,2024-03-06,01:41,241
SU5344,Pobeda,2024-03-10,11:40,317
SU108,Rossiya,2024-07-08,09:43,98
SU3182,Yakutia,2024-07-12,19:58,83
SU8893,Azimuth,2024-02-12,04:53,177
SU5344,Pobeda,2024-11-18,18:05,204
SU2717,Yakutia,2024-06-14,14:40,181
SU9730,Azimuth,2024-04-22,08:46,184
SU3208,Aeroflot,2024-06-09,16:19,61
SU9470,Yakutia,2024-11-01,03:47,200
SU5501,Ural Airlines,2024-10-26,13:09,75
SU2942,Azimuth,2024-05-23,09:15,178
SU8645,UTair,2024-09-11,01:13,147
SU4117,UTair,2024-05-15,13:07,80
SU8672,S7 Airlines,2024-05-24,17:25,327
SU3394,Red Wings,2024-07-16,18:34,243
SU3320,Red Wings,2024-12-27,09:04,67
SU816,Azimuth,2024-05-26,11:52,167
SU673,Azimuth,2024-08-20,07:11,285
SU9532,S7 Airlines,2024-01-24,08:38,303
SU3193,Azimuth,2024-12-13,07:36,273
SU5928,Aeroflot,2024-08-26,08:18,50
SU7890,Ural Airlines,2024-01-28,19:36,56
SU2353,Nordavia,2024-05-05,03:58,138
SU6344,UTair,2024-07-06,17:53,304
SU1523,Azimuth,2024-04-11,07:27,335
SU4944,Pobeda,2024-10-07,20:47,69
SU8077,Ural Airlines,2024-02-08,00:47,132
SU553,S7 Airlines,2024-02-08,14:54,336
SU5471,Nordavia,2024-07-25,18:35,50
SU7714,Ural Airlines,2024-07-12,12:52,142
SU6989,Azimuth,2024-12-03,04:23,215
SU4375,Rossiya,2024-11-17,11:30,134
SU4540,UTair,2024-02-17,18:47,204
SU1565,Nordavia,2024-09-06,17:03,200
SU6631,Rossiya,2024-03-27,04:45,82
SU9647,Azimuth,2024-09-27,12:58,247
SU2995,Pobeda,2024-12-19,09:15,213
SU5561,Red Wings,2024-10-11,03:02,127
SU8707,Ural Airlines,2024-05-26,18:24,67
SU3950,Aeroflot,2024-06-12,05:48,268
SU2835,Azimuth,2024-06-23,04:57,291
SU1518,Aeroflot,2024-02-08,12:05,240
SU7391,Aeroflot,2024-10-28,10:27,195
SU3020,UTair,2024-06-19,09:10,332
SU6886,Azimuth,2024-04-26,13:16,187
SU871,Nordavia,2024-02-20,19:29,234
SU8687,S7 Airlines,2024-09-21,22:49,225
SU3423,Rossiya,2024-05-26,21:07,154
SU5306,Ural Airlines,2024-12-01,03:33,184
SU2799,Aeroflot,2024-11-19,01:02,158
SU6390,Aeroflot,2024-05-12,23:52,71
SU2407,Nordavia,2024-06-01,17:32,139
SU2451,Yakutia,2024-08-10,12:21,238
SU8466,S7 Airlines,2024-03-14,00:05,145
SU8270,Rossiya,2024-11-14,18:14,93
SU1193,Aeroflot,2024-09-09,21:36,301
SU5148,Rossiya,2024-07-13,11:57,349
SU8803,Aeroflot,2024-02-25,19:57,340
SU9617,Pobeda,2024-02-18,01:29,197
SU5643,Pobeda,2024-04-14,22:03,349
SU9301,Rossiya,2024-11-16,07:42,255
SU9652,Red Wings,2024-10-17,01:57,51
SU3688,Ural Airlines,2024-09-28,22:06,195
SU4920,Yakutia,2024-03-12,11:23,101
SU1609,Ural Airlines,2024-11-24,13:15,303
SU5440,Aeroflot,2024-06-14,05:26,265
SU4881,Aeroflot,2024-08-21,17:11,133
SU7194,Aeroflot,2024-04-07,08:01,123
SU4707,Yakutia,2024-05-03,12:05,265
SU3951,Red Wings,2024-06-26,06:44,128
SU1628,Aeroflot,2024-12-05,21:52,320
SU4847,Azimuth,2024-03-14,07:13,341
SU1050,Aeroflot,2024-01-13,10:24,100
SU5667,Aeroflot,2024-02-17,20:16,253
SU4188,Aeroflot,2024-07-27,02:21,247
SU8981,Red Wings,2024-02-03,03:39,112
SU8465,Aeroflot,2024-08-11,17:12,220
SU9199,Nordavia,2024-11-14,10:51,169
SU6387,Nordavia,2024-08-05,13:07,300
SU6511,Yakutia,2024-08-27,11:08,255
SU2703,Red Wings,2024-08-11,01:49,294
SU1396,S7 Airlines,2024-12-24,21:50,344
SU6845,Nordavia,2024-02-18,09:47,206
SU3914,Aeroflot,2024-07-03,11:37,102
SU5200,Nordavia,2024-12-25,17:52,278
