flightNumber,airline,arrivalDate,arrivalTime,passengers
SU5408,Nordavia,2024-06-13,08:31,285
SU670,Aeroflot,2024-06-20,05:24,205
SU8578,Aeroflot,2024-12-19,14:50,214
SU8217,Ural Airlines,2024-10-15,11:21,229
SU5436,Nordavia,2024-05-09,22:55,347
SU2943,Azimuth,2024-08-26,13:15,334
SU5934,Rossiya,2024-07-21,10:38,310
SU439,Yakutia,2024-10-03,20:29,315
SU7015,Pobeda,2024-07-23,21:48,257
SU427,UTair,2024-08-25,00:19,181
SU144,Red Wings,2024-10-25,01:42,178
SU6170,Pobeda,2024-12-22,07:52,301
SU9498,Rossiya,2024-03-13,13:48,223
SU9599,Yakutia,2024-06-23,20:48,51
SU2660,UTair,2024-02-27,10:07,316
SU8363,S7 Airlines,2024-01-23,15:35,55
SU6907,Azimuth,2024-03-25,11:55,297
SU6434,Azimuth,2024-11-02,00:23,131
SU9363,Ural Airlines,2024-08-05,05:30,320
SU2647,UTair,2024-06-06,08:02,220
SU2066,S7 Airlines,2024-06-02,18:54,199
SU9707,Rossiya,2024-03-15,12:41,129
SU574,Rossiya,2024-04-01,20:41,299
SU686,Ural Airlines,2024-09-18,21:43,131
SU5840,Pobeda,2024-07-24,06:38,301
SU5288,S7 Airlines,2024-05-13,20:26,202
SU2463,Yakutia,2024-06-01,04:17,78
SU1643,Aeroflot,2024-10-07,11:25,115
SU8897,Ural Airlines,2024-09-10,13:26,136
SU5521,Nordavia,2024-02-23,12:43,211
SU1015,Red Wings,2024-12-16,07:37,60
SU8205,Azimuth,2024-12-13,19:11,280
SU7395,Pobeda,2024-05-05,04:20,109
SU9549,Rossiya,2024-06-17,00:10,167
SU3098,Rossiya,2024-08-20,07:31,162
SU2983,Ural Airlines,2024-01-18,21:25,203
SU5700,Nordavia,2024-05-26,12:06,78
SU8776,Aeroflot,2024-12-13,09:55,172
SU1058,UTair,2024-04-09,10:39,264
SU7676,UTair,2024-06-02,21:43,220
SU5837,S7 Airlines,2024-08-03,03:12,153
SU1888,Yakutia,2024-06-19,18:12,146
SU9931,Ural Airlines,2024-05-11,00:34,175
SU3595,Pobeda,2024-09-07,01:14,197
